direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
outcome_probe,-0.3,-0.3309,0.1143,24.556,2.262,0.0,0.0,0.0,1.0,0.0,False,0.064,0.4585,0.138,0.4839
outcome_probe,-0.2,-0.3646,0.0806,13.146,1.211,0.0,0.0,0.0,1.0,0.0,True,0.0456,0.4993,0.1227,0.4865
outcome_probe,-0.15,-0.441,0.0042,13.961,1.286,0.0,0.0,0.0,1.0,0.0,True,0.0647,0.6211,0.1733,0.6079
outcome_probe,-0.1,-0.4468,-0.0016,10.442,0.962,0.0,0.0,0.0,1.0,0.0,True,0.0756,0.6723,0.2199,0.6592
outcome_probe,-0.05,-0.4483,-0.0031,10.582,0.975,0.0,0.0,0.0,1.0,0.0,True,0.0944,0.7159,0.261,0.6984
outcome_probe,-0.025,-0.4483,-0.0031,10.694,0.985,0.0,0.0,0.0,1.0,0.0,True,0.1052,0.7379,0.2829,0.7183
outcome_probe,0.025,-0.4364,0.0088,11.045,1.017,0.0,0.0,0.0,1.0,0.0,True,0.1358,0.7858,0.3436,0.7625
outcome_probe,0.05,-0.422,0.0233,11.282,1.039,0.0,0.0,0.0,1.0,0.0,True,0.1583,0.8109,0.384,0.786
outcome_probe,0.1,-0.3833,0.0619,11.827,1.089,0.0,0.0,0.0,1.0,0.0,True,0.223,0.8545,0.4675,0.8282
outcome_probe,0.15,-0.3258,0.1194,14.573,1.342,0.0,0.0,0.0,1.0,0.0,True,0.3158,0.8984,0.5713,0.8721
outcome_probe,0.2,-0.284,0.1612,15.043,1.386,0.0,0.0,0.0,1.0,0.0,True,0.4262,0.9348,0.6514,0.9114
outcome_probe,0.3,-0.1727,0.2725,19.239,1.772,0.0,0.0,0.0,1.0,0.0,False,0.6843,0.9646,0.7945,0.9537
random0,-0.3,-0.237,0.2082,20.034,1.845,0.0,0.0,0.0,1.0,0.0,False,0.3489,0.6636,0.419,0.659
random0,-0.2,-0.3725,0.0727,13.04,1.201,0.0,0.0,0.0,1.0,0.0,True,0.1921,0.7266,0.348,0.7124
random0,-0.15,-0.4034,0.0418,10.865,1.001,0.0,0.0,0.0,1.0,0.0,True,0.155,0.7421,0.333,0.7269
random0,-0.1,-0.4337,0.0115,10.595,0.976,0.0,0.0,0.0,1.0,0.0,True,0.1273,0.7488,0.3088,0.7301
random0,-0.05,-0.4441,0.0011,10.728,0.988,0.0,0.0,0.0,1.0,0.0,True,0.1195,0.7553,0.3049,0.7351
random0,-0.025,-0.445,0.0002,10.794,0.994,0.0,0.0,0.0,1.0,0.0,True,0.1185,0.7579,0.3065,0.7369
random0,0.025,-0.4448,0.0004,10.92,1.006,0.0,0.0,0.0,1.0,0.0,True,0.1198,0.7653,0.3142,0.7432
random0,0.05,-0.4445,0.0007,10.99,1.012,0.0,0.0,0.0,1.0,0.0,True,0.1217,0.7704,0.3198,0.7475
random0,0.1,-0.4442,0.001,11.221,1.034,0.0,0.0,0.0,1.0,0.0,True,0.1266,0.7808,0.3306,0.7563
random0,0.15,-0.4535,-0.0083,11.652,1.073,0.0,0.0,0.0,1.0,0.0,True,0.1297,0.7968,0.3376,0.7692
random0,0.2,-0.4673,-0.0221,11.899,1.096,0.0,0.0,0.0,1.0,0.0,True,0.1333,0.8163,0.3439,0.7867
