direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_dom,0.025,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0091
intent_dom,0.025,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0091
intent_dom,0.025,True,24,downstream,intent,0.8926,0.8926,0.0,0.2508,0.9979,0.0091
intent_dom,0.025,True,24,downstream,outcome,0.9966,0.9966,0.0,0.0125,0.997,0.0091
intent_dom,0.025,True,32,final layer,intent,0.8624,0.8591,-0.0034,0.2226,0.9978,0.0091
intent_dom,0.025,True,32,final layer,outcome,0.9899,0.9899,0.0,0.0133,0.9968,0.0091
intent_dom,0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0192
intent_dom,0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0192
intent_dom,0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0192
intent_dom,0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0192
intent_dom,0.05,True,24,downstream,intent,0.8926,0.8322,-0.0604,0.4998,0.9914,0.0192
intent_dom,0.05,True,24,downstream,outcome,0.9966,0.9933,-0.0034,0.0248,0.9914,0.0192
intent_dom,0.05,True,32,final layer,intent,0.8624,0.8255,-0.0369,0.4341,0.9919,0.0192
intent_dom,0.05,True,32,final layer,outcome,0.9899,0.9866,-0.0034,0.0269,0.9918,0.0192
intent_dom,0.1,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0454
intent_dom,0.1,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0454
intent_dom,0.1,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0454
intent_dom,0.1,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0454
intent_dom,0.1,True,24,downstream,intent,0.8926,0.6745,-0.2181,0.9266,0.9494,0.0454
intent_dom,0.1,True,24,downstream,outcome,0.9966,0.9832,-0.0134,0.0778,0.9409,0.0454
intent_dom,0.1,True,32,final layer,intent,0.8624,0.7081,-0.1544,0.771,0.9644,0.0454
intent_dom,0.1,True,32,final layer,outcome,0.9899,0.9832,-0.0067,0.0699,0.9577,0.0454
intent_dom,0.15,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.052
intent_dom,0.15,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.052
intent_dom,0.15,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.052
intent_dom,0.15,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.052
intent_dom,0.15,True,24,downstream,intent,0.8926,0.5604,-0.3322,1.2372,0.8542,0.052
intent_dom,0.15,True,24,downstream,outcome,0.9966,0.9832,-0.0134,0.1104,0.8208,0.052
intent_dom,0.15,True,32,final layer,intent,0.8624,0.6678,-0.1946,0.9036,0.9099,0.052
intent_dom,0.15,True,32,final layer,outcome,0.9899,0.9799,-0.0101,0.1254,0.8461,0.052
intent_dom,0.2,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0808
intent_dom,0.2,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0808
intent_dom,0.2,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0808
intent_dom,0.2,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0808
intent_dom,0.2,True,24,downstream,intent,0.8926,0.5168,-0.3758,1.4832,0.8336,0.0808
intent_dom,0.2,True,24,downstream,outcome,0.9966,0.9765,-0.0201,0.1239,0.742,0.0808
intent_dom,0.2,True,32,final layer,intent,0.8624,0.6007,-0.2617,1.118,0.9021,0.0808
intent_dom,0.2,True,32,final layer,outcome,0.9899,0.9698,-0.0201,0.1577,0.7769,0.0808
intent_dom,0.3,False,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.1852
intent_dom,0.3,False,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.1852
intent_dom,0.3,False,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.1852
intent_dom,0.3,False,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.1852
