direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
outcome_probe,-0.3,-0.0649,0.2017,11.431,0.966,0.0,0.0,0.0,1.0,0.0,True,0.2719,0.4596,0.3995,0.4738
outcome_probe,-0.2,-0.1198,0.1469,11.674,0.986,0.0,0.0,0.0,1.0,0.0,True,0.2667,0.5338,0.414,0.561
outcome_probe,-0.15,-0.168,0.0987,11.776,0.995,0.0,0.0,0.0,1.0,0.0,True,0.2675,0.6015,0.4324,0.6111
outcome_probe,-0.1,-0.2267,0.04,11.827,0.999,0.0,0.0,0.0,1.0,0.0,True,0.2758,0.6854,0.4579,0.6635
outcome_probe,-0.05,-0.2646,0.0021,11.837,1.0,0.0,0.0,0.0,1.0,0.0,True,0.2931,0.7576,0.4943,0.7123
outcome_probe,-0.025,-0.2687,-0.0021,11.817,0.998,0.0,0.0,0.0,1.0,0.0,True,0.3017,0.7832,0.5167,0.7373
outcome_probe,0.025,-0.26,0.0066,11.833,1.0,0.0,0.0,0.0,1.0,0.0,True,0.3223,0.82,0.5626,0.7833
outcome_probe,0.05,-0.248,0.0186,11.835,1.0,0.0,0.0,0.0,1.0,0.0,True,0.3367,0.8343,0.5881,0.8033
outcome_probe,0.1,-0.209,0.0577,11.825,0.999,0.0,0.0,0.0,1.0,0.0,True,0.3758,0.8584,0.6492,0.8339
outcome_probe,0.15,-0.1642,0.1025,11.819,0.998,0.0,0.0,0.0,1.0,0.0,True,0.4264,0.8811,0.7157,0.8548
outcome_probe,0.2,-0.1304,0.1363,11.842,1.0,0.0,0.0,0.0,1.0,0.0,True,0.4945,0.9034,0.7716,0.8746
outcome_probe,0.3,-0.0953,0.1714,12.08,1.02,0.0,0.0,0.0,1.0,0.0,True,0.6605,0.9385,0.8422,0.9184
random0,-0.3,-0.2756,-0.0089,12.258,1.036,0.0,0.0,0.0,1.0,0.0,True,0.3325,0.8204,0.5447,0.7748
random0,-0.2,-0.2752,-0.0086,11.923,1.007,0.0,0.0,0.0,1.0,0.0,True,0.3239,0.8176,0.5442,0.7741
random0,-0.15,-0.2738,-0.0071,11.865,1.002,0.0,0.0,0.0,1.0,0.0,True,0.3198,0.8154,0.5439,0.7725
random0,-0.1,-0.2715,-0.0049,11.826,0.999,0.0,0.0,0.0,1.0,0.0,True,0.3161,0.8121,0.5433,0.7698
random0,-0.05,-0.2692,-0.0025,11.805,0.997,0.0,0.0,0.0,1.0,0.0,True,0.3132,0.8082,0.5418,0.7657
random0,-0.025,-0.2679,-0.0012,11.816,0.998,0.0,0.0,0.0,1.0,0.0,True,0.3121,0.8059,0.5408,0.7637
