layer,probe_name,cv_acc,cv_std,chance,n
10,outcome_guilty,0.98,0.0163,0.5168,149
11,outcome_guilty,0.98,0.0267,0.5168,149
12,outcome_guilty,0.9867,0.0267,0.5168,149
13,outcome_guilty,0.9867,0.0163,0.5168,149
14,outcome_guilty,0.9733,0.0249,0.5168,149
15,outcome_guilty,0.9733,0.0249,0.5168,149
16,outcome_guilty,0.9867,0.0163,0.5168,149
17,outcome_guilty,0.9933,0.0133,0.5168,149
18,outcome_guilty,0.9933,0.0133,0.5168,149
19,outcome_guilty,0.98,0.0267,0.5168,149
20,outcome_guilty,0.9733,0.0249,0.5168,149
21,outcome_guilty,0.9733,0.0249,0.5168,149
22,outcome_guilty,0.9667,0.0298,0.5168,149
23,outcome_guilty,0.9667,0.0365,0.5168,149
24,outcome_guilty,0.96,0.0249,0.5168,149
25,outcome_guilty,0.9464,0.0161,0.5168,149
26,outcome_guilty,0.9395,0.0251,0.5168,149
27,outcome_guilty,0.926,0.0257,0.5168,149
28,outcome_guilty,0.926,0.0257,0.5168,149
29,outcome_guilty,0.9193,0.0272,0.5168,149
30,outcome_guilty,0.9126,0.027,0.5168,149
31,outcome_guilty,0.9191,0.0412,0.5168,149
32,outcome_guilty,0.9124,0.0462,0.5168,149
