layer,target,cv_acc,chance
0,intent,0.5017543859649123,0.501779359430605
0,outcome,0.5017543859649123,0.501779359430605
1,intent,0.5338345864661654,0.501779359430605
1,outcome,0.5411654135338345,0.501779359430605
2,intent,0.5907268170426064,0.501779359430605
2,outcome,0.6228696741854637,0.501779359430605
3,intent,0.5832706766917293,0.501779359430605
3,outcome,0.5729949874686717,0.501779359430605
4,intent,0.5729949874686717,0.501779359430605
4,outcome,0.6902882205513784,0.501779359430605
5,intent,0.587218045112782,0.501779359430605
5,outcome,0.6159774436090226,0.501779359430605
6,intent,0.6256892230576442,0.501779359430605
6,outcome,0.6193609022556392,0.501779359430605
7,intent,0.7473057644110276,0.501779359430605
7,outcome,0.587280701754386,0.501779359430605
8,intent,0.7225563909774436,0.501779359430605
8,outcome,0.6151629072681704,0.501779359430605
9,intent,0.7369674185463659,0.501779359430605
9,outcome,0.6049498746867167,0.501779359430605
10,intent,0.7727443609022557,0.501779359430605
10,outcome,0.66203007518797,0.501779359430605
11,intent,0.8114035087719296,0.501779359430605
11,outcome,0.7328320802005013,0.501779359430605
12,intent,0.8397243107769423,0.501779359430605
12,outcome,0.7117167919799499,0.501779359430605
13,intent,0.8717418546365915,0.501779359430605
13,outcome,0.7721804511278195,0.501779359430605
14,intent,0.9036340852130327,0.501779359430605
14,outcome,0.7828947368421053,0.501779359430605
15,intent,0.9072055137844611,0.501779359430605
15,outcome,0.7899122807017545,0.501779359430605
16,intent,0.9144110275689222,0.501779359430605
16,outcome,0.7970551378446113,0.501779359430605
17,intent,0.8859022556390977,0.501779359430605
17,outcome,0.8184837092731829,0.501779359430605
18,intent,0.8823308270676691,0.501779359430605
18,outcome,0.8184837092731829,0.501779359430605
19,intent,0.8859022556390977,0.501779359430605
19,outcome,0.8112781954887218,0.501779359430605
20,intent,0.875187969924812,0.501779359430605
20,outcome,0.7864035087719298,0.501779359430605
21,intent,0.8681077694235588,0.501779359430605
21,outcome,0.7864661654135339,0.501779359430605
22,intent,0.857393483709273,0.501779359430605
22,outcome,0.7864661654135338,0.501779359430605
23,intent,0.8575187969924812,0.501779359430605
23,outcome,0.7864035087719298,0.501779359430605
24,intent,0.8575814536340852,0.501779359430605
24,outcome,0.7828320802005012,0.501779359430605
25,intent,0.8539473684210526,0.501779359430605
25,outcome,0.8043859649122806,0.501779359430605
26,intent,0.8292606516290727,0.501779359430605
26,outcome,0.8149749373433582,0.501779359430605
27,intent,0.843358395989975,0.501779359430605
27,outcome,0.7864035087719298,0.501779359430605
28,intent,0.868483709273183,0.501779359430605
28,outcome,0.7935463659147869,0.501779359430605
29,intent,0.8755012531328321,0.501779359430605
29,outcome,0.8042606516290727,0.501779359430605
30,intent,0.8719298245614036,0.501779359430605
30,outcome,0.8185463659147871,0.501779359430605
31,intent,0.8755639097744361,0.501779359430605
31,outcome,0.8114035087719298,0.501779359430605
32,intent,0.8861528822055137,0.501779359430605
32,outcome,0.793671679197995,0.501779359430605
