layer,target,cv_acc,chance
0,intent,0.5231829573934836,0.501779359430605
0,outcome,0.49824561403508766,0.501779359430605
1,intent,0.6050125313283207,0.501779359430605
1,outcome,0.5621553884711779,0.501779359430605
2,intent,0.693609022556391,0.501779359430605
2,outcome,0.594172932330827,0.501779359430605
3,intent,0.7186090225563909,0.501779359430605
3,outcome,0.5801378446115287,0.501779359430605
4,intent,0.6691102756892231,0.501779359430605
4,outcome,0.6295112781954887,0.501779359430605
5,intent,0.6476817042606517,0.501779359430605
5,outcome,0.6117794486215539,0.501779359430605
6,intent,0.6726190476190477,0.501779359430605
6,outcome,0.6224310776942356,0.501779359430605
7,intent,0.7152882205513784,0.501779359430605
7,outcome,0.6225563909774436,0.501779359430605
8,intent,0.8291979949874687,0.501779359430605
8,outcome,0.5979323308270678,0.501779359430605
9,intent,0.8041979949874687,0.501779359430605
9,outcome,0.6444235588972431,0.501779359430605
10,intent,0.8290726817042605,0.501779359430605
10,outcome,0.6404761904761905,0.501779359430605
11,intent,0.9108395989974938,0.501779359430605
11,outcome,0.7013157894736842,0.501779359430605
12,intent,0.9215538847117795,0.501779359430605
12,outcome,0.6761278195488721,0.501779359430605
13,intent,0.9036967418546364,0.501779359430605
13,outcome,0.6654761904761906,0.501779359430605
14,intent,0.9642857142857142,0.501779359430605
14,outcome,0.7149749373433583,0.501779359430605
15,intent,0.95,0.501779359430605
15,outcome,0.7546365914786968,0.501779359430605
16,intent,0.9535714285714285,0.501779359430605
16,outcome,0.8290100250626568,0.501779359430605
17,intent,0.9642857142857142,0.501779359430605
17,outcome,0.7936090225563911,0.501779359430605
18,intent,0.9428571428571428,0.501779359430605
18,outcome,0.8111528822055138,0.501779359430605
19,intent,0.9428571428571428,0.501779359430605
19,outcome,0.775689223057644,0.501779359430605
20,intent,0.9392857142857143,0.501779359430605
20,outcome,0.793546365914787,0.501779359430605
21,intent,0.9428571428571428,0.501779359430605
21,outcome,0.8149122807017545,0.501779359430605
22,intent,0.9107142857142856,0.501779359430605
22,outcome,0.7828320802005013,0.501779359430605
23,intent,0.9072055137844611,0.501779359430605
23,outcome,0.768984962406015,0.501779359430605
24,intent,0.9107142857142858,0.501779359430605
24,outcome,0.7544486215538846,0.501779359430605
25,intent,0.875250626566416,0.501779359430605
25,outcome,0.7652255639097745,0.501779359430605
26,intent,0.8395989974937343,0.501779359430605
26,outcome,0.7545112781954887,0.501779359430605
27,intent,0.8573934837092733,0.501779359430605
27,outcome,0.7617794486215539,0.501779359430605
28,intent,0.8360902255639099,0.501779359430605
28,outcome,0.7330200501253132,0.501779359430605
